cluster_idx	scan	mz	RTINSECONDS	index in file	source filename
464	741	486.702	0	741	datasets/MSV000078787_specs_ms.mgf
464	743	487.196	0	743	datasets/MSV000078787_specs_ms.mgf
464	745	487.36	0	745	datasets/MSV000078787_specs_ms.mgf
470	748	487.731	0	748	datasets/MSV000078787_specs_ms.mgf
470	749	488.209	0	749	datasets/MSV000078787_specs_ms.mgf
470	750	488.227	0	750	datasets/MSV000078787_specs_ms.mgf
470	751	488.242	0	751	datasets/MSV000078787_specs_ms.mgf
470	752	488.269	0	752	datasets/MSV000078787_specs_ms.mgf
471	753	489.192	0	753	datasets/MSV000078787_specs_ms.mgf
471	754	489.268	0	754	datasets/MSV000078787_specs_ms.mgf
473	756	490.204	0	756	datasets/MSV000078787_specs_ms.mgf
473	757	490.224	0	757	datasets/MSV000078787_specs_ms.mgf
473	760	490.308	0	760	datasets/MSV000078787_specs_ms.mgf
473	763	490.624	0	763	datasets/MSV000078787_specs_ms.mgf
478	765	491.251	0	765	datasets/MSV000078787_specs_ms.mgf
478	767	491.257	0	767	datasets/MSV000078787_specs_ms.mgf
478	768	491.267	0	768	datasets/MSV000078787_specs_ms.mgf
478	769	491.29	0	769	datasets/MSV000078787_specs_ms.mgf
478	770	491.29	0	770	datasets/MSV000078787_specs_ms.mgf
478	771	491.293	0	771	datasets/MSV000078787_specs_ms.mgf
478	772	491.299	0	772	datasets/MSV000078787_specs_ms.mgf
478	773	491.305	0	773	datasets/MSV000078787_specs_ms.mgf
482	775	492.257	0	775	datasets/MSV000078787_specs_ms.mgf
482	777	492.26	0	777	datasets/MSV000078787_specs_ms.mgf
482	778	492.343	0	778	datasets/MSV000078787_specs_ms.mgf
482	779	492.812	0	779	datasets/MSV000078787_specs_ms.mgf
482	790	493.717	0	790	datasets/MSV000078787_specs_ms.mgf
484	780	493.249	0	780	datasets/MSV000078787_specs_ms.mgf
484	781	493.253	0	781	datasets/MSV000078787_specs_ms.mgf
486	784	493.274	0	784	datasets/MSV000078787_specs_ms.mgf
486	785	493.288	0	785	datasets/MSV000078787_specs_ms.mgf
486	786	493.299	0	786	datasets/MSV000078787_specs_ms.mgf
486	787	493.306	0	787	datasets/MSV000078787_specs_ms.mgf
486	788	493.313	0	788	datasets/MSV000078787_specs_ms.mgf
491	795	494.352	0	795	datasets/MSV000078787_specs_ms.mgf
491	797	495.22	0	797	datasets/MSV000078787_specs_ms.mgf
491	798	495.229	0	798	datasets/MSV000078787_specs_ms.mgf
491	799	495.274	0	799	datasets/MSV000078787_specs_ms.mgf
